"filename", "language", "JavaScript", "Properties", "JSON", "HTML", "PostCSS", "Markdown", "comment", "blank", "total"
"/Users/admin/Desktop/CODE/SignOuts/JS/SignOutsJSFinal/src/middleware/auth.js", "JavaScript", 66, 0, 0, 0, 0, 0, 3, 10, 79
"/Users/admin/Desktop/CODE/SignOuts/JS/SignOutsJSFinal/src/middleware/permissions.js", "JavaScript", 279, 0, 0, 0, 0, 0, 76, 29, 384
"/Users/admin/Desktop/CODE/SignOuts/JS/SignOutsJSFinal/src/routes/audit-logs.js", "JavaScript", 133, 0, 0, 0, 0, 0, 39, 18, 190
"/Users/admin/Desktop/CODE/SignOuts/JS/SignOutsJSFinal/src/routes/auth.js", "JavaScript", 112, 0, 0, 0, 0, 0, 6, 20, 138
"/Users/admin/Desktop/CODE/SignOuts/JS/SignOutsJSFinal/src/routes/index.js", "JavaScript", 16, 0, 0, 0, 0, 0, 1, 2, 19
"/Users/admin/Desktop/CODE/SignOuts/JS/SignOutsJSFinal/src/routes/main.js", "JavaScript", 41, 0, 0, 0, 0, 0, 5, 8, 54
"/Users/admin/Desktop/CODE/SignOuts/JS/SignOutsJSFinal/src/routes/permissions.js", "JavaScript", 389, 0, 0, 0, 0, 0, 57, 50, 496
"/Users/admin/Desktop/CODE/SignOuts/JS/SignOutsJSFinal/src/routes/preferences.js", "JavaScript", 121, 0, 0, 0, 0, 0, 0, 19, 140
"/Users/admin/Desktop/CODE/SignOuts/JS/SignOutsJSFinal/src/routes/settings.js", "JavaScript", 146, 0, 0, 0, 0, 0, 9, 22, 177
"/Users/admin/Desktop/CODE/SignOuts/JS/SignOutsJSFinal/src/routes/signouts.js", "JavaScript", 420, 0, 0, 0, 0, 0, 17, 66, 503
"/Users/admin/Desktop/CODE/SignOuts/JS/SignOutsJSFinal/src/routes/soldiers.js", "JavaScript", 518, 0, 0, 0, 0, 0, 1, 122, 641
"/Users/admin/Desktop/CODE/SignOuts/JS/SignOutsJSFinal/src/routes/users.js", "JavaScript", 617, 0, 0, 0, 0, 0, 15, 62, 694
"/Users/admin/Desktop/CODE/SignOuts/JS/SignOutsJSFinal/src/utils/barcode-parser.js", "JavaScript", 150, 0, 0, 0, 0, 0, 0, 64, 214
"/Users/admin/Desktop/CODE/SignOuts/JS/SignOutsJSFinal/src/utils/error-handler.js", "JavaScript", 229, 0, 0, 0, 0, 0, 399, 45, 673
"Total", "-", 11694, 6, 2712, 793, 3955, 21, 1871, 2806, 23858
